marker	p-value
PVV4	8.697901e-07
CRY2	1.43839e-07
AXR-1	0.4855644
HH.335C	9.898396e-06
DF.162L	6.783339e-06
BH.147L	2.642321e-05
EC.480C	1.922835e-05
EC.66C	0.5161031
GD.86L	0.4748099
g2395	0.0005702739
CH.160L	0.3027449
AD.121C	0.08140105
AD.106L	0.1342317
GB.112L	0.9554135
BH.106L	0.3402945
GD.97L	0.5211598
DF.93C	0.5179977
CD.108L	0.5156249
DF.85C	0.4490773
FD.59C	0.2297963
BF.206L	0.2900677
CH.200C	0.1565313
DF.260L	0.2029377
EC.88C	0.1565207
DF.408C	0.2707272
HH.375L	0.7115273
CH.215L	0.8242758
BF.116C	0.8711768
GH.157L	0.6367595
CC.318C	0.7346739
CD.173L	0.6691809
FD.90L	0.9284612
CD.227C	0.7649402
HH.360L	0.9586296
AD.156C	0.4388646
BF.325L	0.60455
GH.580L	0.3815037
CH.610C	0.3279666
EC.495C	0.2718126
FD.81L	0.1987658
BF.105C	0.2930095
CH.284C	0.5517583
FD.222L	0.04587883
EG.66L	0.07959431
CH.65C	0.04139396
BF.221L	0.01842289
FD.85C	0.1498092
GB.150L	0.2015601
FD.150C	0.05210421
GD.460L	0.1063995
Erecta	0.05233477
BH.195L	0.1410803
GH.247L	0.6234613
BH.120L	0.06550578
DF.140C	0.03295119
T2N18	0.02203285
T6A23	0.01925224
EG.357C	0.03034139
F4I1	0.001217551
MSAT2.22	0.003039733
DF.77C	0.0795925
GB.120C	0.4642825
EG.75L	0.9686481
CH.322C	0.6850689
FD.111L	0.8347355
CC.266L	0.6370318
BH.88C	0.175506
GH.226C	0.8183214
EC.83C	0.3014078
GD.318C	0.3221059
AD.92L	0.6870115
BF.148C	0.3980481
CD.800C	0.7669514
BF.134C	0.6088083
DF.250L	0.9082193
GD.136C	0.5487294
HH.440L	0.7743935
BF.128C	0.2575125
HH.117C	0.2629651
GD.296C	0.4853969
DF.328C	0.4548542
FD.98C	0.640476
CD.87L	0.9068517
DF.65L	0.9143139
HH.171C	0.9546255
AD.112L	0.01784197
BH.109L	0.9879286
HH.90L	0.4848576
ANL2	0.361051
GH.250C	0.3325714
GA1	0.112452
C6L9	0.3401079
T7M24	0.3708127
CD.730C	0.6206134
CH.169C	0.3569205
EC.306L	0.9360147
BH.92L	0.1979773
FD.154L	0.8479474
CH.238C	0.7982787
SC5	0.7232399
CD.329C	0.8797403
FD.167L	0.5530521
CH.70L	0.4646575
HH.159C	0.560978
GB.490C	0.333286
VPMH47	0.5249018
VPMH19	0.9036997
GB.750C	0.7465968
BH.342C	0.8965468
FD.207L	0.4145384
CH.690C	0.7503872
AD.292L	0.7300715
BH.144L	0.4397167
EC.198L	0.4801646
BH.180C	0.2353576
BH.107L	0.4063246
nga151	0.0303446
DF.231C	0.03495146
DF.184L	0.009752257
GH.473C	0.2756726
GH.121L	0.2373065
AD.129L	0.01364152
HH.480C	0.1577839
BH.96L	0.067262
CC.188L	0.1789793
GD.239L	0.07328619
DF.300C	0.7724047
GB.235C	0.8903028
CD.179L	0.5804106
CH.88L	0.480861
CD.116L	0.3606188
EC.151L	0.5102534
DFR	0.6811215
GD.350L	0.2549461
BH.81L	0.2502919
HH.445L	0.1820258
GD.118C	0.2761853
CC.262C	0.3237381
GB.102L	0.7633569
HH.143C	0.8833172
BF.168L	0.8372253
DF.119L	0.4750551
GD.222C	0.2933189
EG.205L	0.2246837
